Причина,Источник,Проверка,Страницы
Страница с переадресацией,Сайт,Ошибка,55
Вариант страницы с тегом canonical,Сайт,Ошибка,19
Не найдено (404),Сайт,Ошибка,16
Ошибка сервера (5xx),Сайт,Не начато,1
"Обнаружена, не проиндексирована",Системы Google,Не начато,49
"Страница просканирована, но пока не проиндексирована",Системы Google,Не начато,12
Индексирование страницы запрещено тегом noindex,Сайт,Начато,18
Заблокировано в файле robots.txt,Сайт,Начато,10
"Страница является копией. Канонические версии страницы, выбранные Google и пользователем, не совпадают.",Системы Google,Начато,1
Ложная ошибка 404,Сайт,Отсутствует,0
Страница является копией. Канонический вариант не выбран пользователем.,Сайт,Отсутствует,0